Rank,Song,Artist
61,The Giver,Chappell Roan
62,Peekaboo,Kendrick Lamar Featuring AzChike
63,BMF,SZA
64,Fix What You Didn't Break,Nate Smith
65,Holy Smokes,Bailey Zimmerman
66,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims
67,Te Queria Ver,Aleman X Neton Vega
68,Friends Like That,John Morgan Featuring Jason Aldean
69,Loco,Neton Vega
70,Texas,Blake Shelton
71,Happen To Me,Russell Dickerson
72,Your Way's Better,Forrest Frank
73,Backseat Driver,Kane Brown
74,Busy Woman,Sabrina Carpenter
75,Are You Even Real,Teddy Swims & GIVEON
76,Ojos Tristes,"Selena Gomez, benny blanco & The Marias"
77,EOO,Bad Bunny
78,Steve's Lava Chicken,Jack Black
79,The Largest,BigXthaPlug
80,No Pole,Don Toliver
81,Feel It,d4vd
82,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
83,Like Him,"Tyler, The Creator Featuring Lola Young"
84,Morena,Neton Vega & Peso Pluma
85,Haunted,Kane Brown With Jelly Roll
86,Gimme A Hug,Drake
87,Headphones On,Addison Rae
88,End Of The World,Miley Cyrus
89,Whiskey Drink,Jason Aldean
90,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
91,Forever To Me,Cole Swindell
92,Whim Whamiee,PLUTO & YKNIECE
93,Chest Pain (I Love),Malcolm Todd
94,Nuevayol,Bad Bunny
95,Party 4 U,Charli xcx
96,Actin Up,Tommy Richman
97,Tattoo,Tito Double P
98,House Again,Hudson Westbrook
99,like JENNIE,JENNIE
100,Caramel,Sleep Token
101,Die With A Smile,Lady Gaga & Bruno Mars
102,Ordinary,Alex Warren
103,APT.,ROSE & Bruno Mars
104,Birds Of A Feather,Billie Eilish
105,Beautiful Things,Benson Boone
106,like JENNIE,JENNIE
107,Luther,Kendrick Lamar & SZA
108,Anxiety,Doechii
109,Abracadabra,Lady Gaga
110,Lose Control,Teddy Swims
111,Messy,Lola Young
112,That’s So True,Gracie Abrams
113,Nokia,Drake
114,Espresso,Sabrina Carpenter
115,Not Like Us,Kendrick Lamar
116,La Plena (W Sound 05),"W Sound, Beele & Ovy On The Drums"
117,Pink Pony Club,Chappell Roan
118,DTMF,Bad Bunny
119,Show Me Love,WizTheMc
120,I Ain't Coming Back,Morgan Wallen & Post Malone
121,Wildflower,Billie Eilish
122,Sailor Song,Gigi Perez
123,Timeless,The Weeknd & Playboi Carti
124,A Bar Song (Tipsy),Shaboozey
125,Sports Car,Tate McRae
126,Baile Inolvidable,Bad Bunny
127,Bad Dreams,Teddy Swims
128,Te Queria Ver,Aleman X Neton Vega
129,Azizam,Ed Sheeran
130,Mutt,Leon Thomas
131,No One Noticed,The Marias
132,"Good Luck, Babe!",Chappell Roan
133,All The Way,BigXthaPlug Featuring Bailey Zimmerman
134,Passo Bem Solto,ATLXS
135,All The Stars,Kendrick Lamar & SZA
136,The Door,Teddy Swims
137,Taste,Sabrina Carpenter
138,Too Sweet,Hozier
139,Back To Friends,sombr
140,Si Antes Te Hubiera Conocido,Karol G
141,TV Off,Kendrick Lamar Featuring Lefty Gunplay
142,EOO,Bad Bunny
143,I Had Some Help,Post Malone Featuring Morgan Wallen
144,Love Me Not,Ravyn Lenae
145,Save Your Tears,The Weeknd & Ariana Grande
146,Just In Case,Morgan Wallen
147,Iris,Goo Goo Dolls
148,Me Jalo,Fuerza Regida & Grupo Frontera
149,Morena,Neton Vega & Peso Pluma
150,Please Please Please,Sabrina Carpenter
151,Gata Only,FloyyMenor X Cris Mj
152,I'm The Problem,Morgan Wallen
153,Twilight Zone,Ariana Grande
154,Sorry I'm Here For Someone Else,Benson Boone
155,Undressed,sombr
156,Every Breath You Take,The Police
157,Revolving Door,Tate McRae
158,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp"
159,Sweater Weather,The Neighbourhood
160,Capaz,Alleh & Yorghaki
161,Vitamina,Jombriel & DFZM
162,Viva La Vida,Coldplay
163,Yellow,Coldplay
164,The Night We Met,Lord Huron
165,Loco,Neton Vega
166,Who,Jimin
167,Nuevayol,Bad Bunny
168,Creep,Radiohead
